Prima_Neta,Valor_Cuota,Dias_Entre_Aviso_Cierre,Riesgo_Pais,Fecha_Aviso,Sin_Plan_Pago,Garantia_Suscripcion,Compania,Evento,Nombre_Ramo,Canal,Ciudad_y,Linea_Negocio,Sucursal
82718478,0,60,114806,2025-06-10,False,False,SOUTHBRIDGE,NORMAL,Incendio,DIR,Santiago,Empresas,THB Santiago
37851225,0,60,102351,2025-08-20,False,False,EVEREST SEGUROS GENERALES CHILE S.A,NORMAL,Incendio,DIR,Santiago,Empresas,THB Santiago
37851225,0,60,101207,2025-11-07,False,False,EVEREST SEGUROS GENERALES CHILE S.A,NORMAL,Incendio,DIR,Santiago,Empresas,THB Santiago
37851225,0,60,85205,2026-03-11,False,False,EVEREST SEGUROS GENERALES CHILE S.A,NORMAL,Incendio,DIR,Santiago,Empresas,THB Santiago
37851225,0,60,87112,2026-03-12,False,False,EVEREST SEGUROS GENERALES CHILE S.A,NORMAL,Incendio,DIR,Santiago,Empresas,THB Santiago
37851225,0,60,10223,2026-03-31,False,False,EVEREST SEGUROS GENERALES CHILE S.A,NORMAL,Incendio,DIR,Santiago,Empresas,THB Santiago
2466014,0,60,121642,2025-03-05,False,False,SOUTHBRIDGE,NORMAL,Robo Con Fractura,DIR,Santiago,Empresas,THB Santiago
2466014,0,60,125543,2025-03-07,False,False,SOUTHBRIDGE,NORMAL,Robo Con Fractura,DIR,Santiago,Empresas,THB Santiago
2466014,0,60,116743,2025-05-12,False,False,SOUTHBRIDGE,NORMAL,Robo Con Fractura,DIR,Santiago,Empresas,THB Santiago
2466014,0,60,94569,2025-09-22,False,False,SOUTHBRIDGE,NORMAL,Robo Con Fractura,DIR,Santiago,Empresas,THB Santiago
2466014,0,60,100342,2025-11-06,False,False,SOUTHBRIDGE,NORMAL,Robo Con Fractura,DIR,Santiago,Empresas,THB Santiago
2466014,0,60,9118,2025-12-27,False,False,SOUTHBRIDGE,NORMAL,Robo Con Fractura,DIR,Santiago,Empresas,THB Santiago
1253128,0,90,103632,2025-09-01,False,False,SOUTHBRIDGE,NORMAL,Todo Riesgo Bs. Fisicos,DIR,Santiago,Grandes Cuentas,AJG Santiago
